dProofs85-unfiltered85+.txt:60517523   11 CCCpqrCCprr           DDD1DDDD1D1D1D1DDDD1DDDD1D1D1D1DDDD1D1D11111111DDDD1D1D1111111111D1DDD1D1DDD1D1111111:CCC0.1.2CC0.2.2
dProofs89-unfiltered85+.txt:294016011  11 CpCCCqpCprr           DDD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DDD1DDD1D1D1DDDD1D1D1DDD1D111111111D1DDD1D111111:C0CCC1.0C0.2.2
dProofs89-unfiltered85+.txt:294016025  11 CpCCCCpqrqq           DDD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DDDDDD1D1D1D1DDDD1D1D111111111DDD1D1DDD1D1111111:C0CCCC0.1.2.1.1
dProofs89-unfiltered85+.txt:315940659  11 CCpCCqprCpr           DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111DDDDD1D1D1D1DDDD1D1D11111111111DDD1D1D1DDD1D111111:CC0CC1.0.2C0.2
dProofs91-unfiltered85+.txt:534329797  11 CpCCCqqCprr           DDD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DDD1DDD1D1D1DDDD1D1D1DDD1D111111111D1DDD1D11D11111:C0CCC1.1C0.2.2
dProofs91-unfiltered85+.txt:550823650  11 CCpqCpCrCsq           DDDD1D1D1DDDD1D1D1D1DDDD1D1D1DDD1D111111111111DDD1D1D1DDDD1D1D1D1DDDD1D1D1DDD1D111111111111:CC0.1C0C2C3.1
dProofs93-unfiltered85+.txt:988838472  11 CCCCpqqrCpr           DDD1DDDD1D1D1D1DDDD1D1D11111111DDDD1D1D1DDDDDD1D1D1D1DDDD1D1D111111111D1DDD1D1DDD1D1111111111:CCCC0.1.1.2C0.2
dProofs1.txt:1                         13 CCCpqrCCrpCsp         1:CCC0.1.2CC2.0C3.0
dProofs9.txt:4                         13 CpCCqqCCrqCqq         DD11D1D11:C0CC1.1CC2.1C1.1 [instance of CpCqCrq]
dProofs11.txt:5                        13 CCCCpqCqqrCsr         D1DD1D11D11:CCCC0.1C1.1.2C3.2 [instance of CCCpCqqrCsr]
dProofs11.txt:8                        13 CCCpqCqrCsCqr         D1DDD1D1111:CCC0.1C1.2C3C1.2
dProofs11.txt:10                       13 CpCCCqCrqrCsr         DD1DD11D111:C0CCC1C2.1.2C3.2 [instance of CpCCCqCrsrCtr]
dProofs11.txt:13                       13 CCCCpqCrqsCqs         DDD1D1D1111:CCCC0.1C2.1.3C1.3 [instance of CCCpCqrsCrs]
dProofs15.txt:9                        13 CCCpqCrrCsCrr         D1D1DDD1D11D111:CCC0.1C2.2C3C2.2 [instance of CpCqCrr]
dProofs15.txt:16                       13 CCCpCqCrqsCts         D1DD1DD1D111D11:CCC0C1C2.1.3C4.3
dProofs15.txt:24                       13 CpCCCCqrsrCqr         DD1D1DDD1D11111:C0CCCC1.2.3.2C1.2
dProofs17.txt:27                       13 CpCqCrCCstCtt         DD1D1D1D1D1D11D11:C0C1C2CC3.4C4.4 [instance of CpCqCrCsCtt]
dProofs17.txt:29                       13 CpCqCCCrsrCtr         DD1D1D1DD1D111D11:C0C1CCC2.3.2C4.2
dProofs17.txt:32                       13 CpCCCqCrsrCtr         DD1DD11DDD1D11111:C0CCC1C2.3.2C4.2
dProofs17.txt:35                       13 CpCCCqCrqsCts         DD1DD1DD1D111D111:C0CCC1C2.1.3C4.3
dProofs19.txt:51                       13 CpCqCrCCsrCtr         DD1DD11DDD1D1111D11:C0C1C2CC3.2C4.2 [instance of CpCqCrCsCtr]
dProofs21.txt:48                       13 CCCpCqCrrsCts         D1DD1DD1D111D1DD1D111:CCC0C1C2.2.3C4.3
dProofs21.txt:53                       13 CCCpqCrpCsCrp         D1DDD1D1D1DDD1D111111:CCC0.1C2.0C3C2.0
dProofs21.txt:89                       13 CCCpCqCrsrCtr         DDD1D11DDDD1D1D111111:CCC0C1C2.3.2C4.2
dProofs23.txt:69                       13 CCCpCqCrpsCts         D1DD1DD1D111DDD1D1D1111:CCC0C1C2.0.3C4.3
dProofs23.txt:105                      13 CpCqCCCrrsCts         DD1D1D1DD1DD1D11D111D11:C0C1CCC2.2.3C4.3
dProofs23.txt:120                      13 CpCCCqCrrsCts         DD1DD1DD1D111D1DD1D1111:C0CCC1C2.2.3C4.3
dProofs23.txt:128                      13 CCCpCCqrsrCqr         DDD1D1DDDD1D1D11111D111:CCC0CC1.2.3.2C1.2
dProofs25.txt:123                      13 CpCqCrCCsqCtq         DD11DDDD1D1D1111DDD1D1111:C0C1C2CC3.1C4.1 [instance of CpCqCrCsCtq]
dProofs25.txt:178                      13 CpCCqCqrCsCqr         DD1DDD1D11DDDD1D1D1111111:C0CC1C1.2C3C1.2
dProofs27.txt:189                      13 CpCqCrCsCtCut         DD1D1D1D1D1DD1DD1D111D11D11:C0C1C2C3C4C5.4
