dProofs39.txt:2058                     11 CpCqCCCOrss         DD1DDDDDD1D1D1111121D1DDD1D1DDD1D111111:C0C1CCCO2.3.3
dProofs41.txt:2896                     11 CpCCCqCrrss         DD1DDD1D1DDD1D111111D1DD1D1D1DDD1D1111D11:C0CCC1C2.2.3.3
dProofs43.txt:4159                     11 CCCpCqCrrss         DDD1DDD1D1DDD1D111111D1DD1DD1D111D1DD1D1111:CCC0C1C2.2.3.3
dProofs43.txt:4164                     11 CCCpqCrpCrp         DDD1DDD1D1DDD1D111111D1DDD1D1D1DDD1D1111111:CCC0.1C2.0C2.0
dProofs43.txt:4167                     11 CCCpCqCrsrr         DDD1DDD1D1DDD1D111111DDD1D11DDDD1D1D1111111:CCC0C1C2.3.2.2
dProofs45.txt:5912                     11 CCCpCqCrpss         DDD1DDD1D1DDD1D111111D1DD1DD1D111DDD1D1D11111:CCC0C1C2.0.3.3
dProofs47.txt:8117                     11 CpCCqCqrCqr         DD1DDD1D1DDD1D111111DDD1DDD1D11DDDD1D1D11111111:C0CC1C1.2C1.2
dProofs47.txt:8295                     11 CCCpCqCOrss         DDD1DDD1D1DDD1D111111D1DD1D1DDDDD1D1D111112D111:CCC0C1CO2.3.3
dProofs47.txt:8346                     11 CpCqCrCsCtp         DDDD1D1D1D1DDD1D1D1DDD1D111111DDDD1D1D111111D11:C0C1C2C3C4.0
dProofs49.txt:11269                    11 CpCqCCCrsOr         DD1DD1DDD1D1DDDD1D1D11111D1111D1DDDD11DDD1D111112:C0C1CCC2.3O2
dProofs49.txt:11831                    11 CCCpqpCrCsp         DDD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DD1D1111:CCC0.1.0C2C3.0
dProofs49.txt:11835                    11 CCpqCCCprpq         DDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111DDD1D111111:CC0.1CCC0.2.0.1
dProofs49.txt:11940                    11 CCCppCCqrOq         DDDD1DDD1DDD1D1D1DDDD1D1D1111111D1DDD1D11D1111112:CCC0.0CC1.2O1
dProofs49.txt:11947                    11 CpCqCCprCsr         DDDD1DDDD1D1D1D1DDDD1D1D11111111DDDD1D1D111111D11:C0C1CC0.2C3.2
dProofs51.txt:16838                    11 CCCCCpqOrOp         DDDD1DDDD1DDD1D1DDD1D1D1D1D1DDDD1D1D111111111112112:CCCCC0.1O2O0
dProofs53.txt:23149                    11 CpCCCqrOCsq         DD1DDDDDD1D1D1D1DDDD1D1D1111111111D1DDDD11DDD1D111112:C0CCC1.2OC3.1
dProofs53.txt:23222                    11 CCCpqCCprpp         DDD1DDD1D1D1DDD1DDD1D1DDDD1D1D11111D1111111DDD1D11111:CCC0.1CC0.2.0.0
dProofs53.txt:23536                    11 CCCCCpqpprr         DDD1DDD1D1DDD1D111111D1DD1DDD1D1DDD1D111111DDD1D11111:CCCCC0.1.0.0.2.2
dProofs53.txt:23539                    11 CCCCCpqrprr         DDD1DDD1D1DDD1D111111D1DDD1DDD1D1DDDD1D1D11111D111111:CCCCC0.1.2.0.2.2
dProofs53.txt:23627                    11 CCpqCCCrrpq         DDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111D1DDD1D11D11111:CC0.1CCC2.2.0.1
dProofs53.txt:23644                    11 CCCCCpqprOp         DDD1DDDDDD1DDD1D1D1D1D1DDDD1D1D111111111112DDD1D11111:CCCCC0.1.0.2O0
dProofs53.txt:23904                    11 CCCCpqCqqOr         DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111D1DD1D11D11112:CCCC0.1C1.1O2 [instance of CCCpCqqOr]
dProofs55.txt:32701                    11 CCpqCCCprOq         DDD1D1D1DDDD1DDD1DDD1D1D1DDDD1D1D1111111DDD1D1111111211:CC0.1CCC0.2O1
dProofs55.txt:33293                    11 CCCppqCrCsq         DDD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DD1DD1D11D1111:CCC0.0.1C2C3.1
dProofs55.txt:33319                    11 CCCpqrCCrpp         DDD1DDDDDD1D1D1D1DDDD1D1D1111111111D1DDD1D1DDD1D1111111:CCC0.1.2CC2.0.0
dProofs55.txt:33701                    11 CCCpqCCpqOp         DDDD1DDD1DDD1D1D1DDDD1D1D1111111D1DDD1D1DDD1D1111111112:CCC0.1CC0.1O0 [instance of CCCpqCCprOp]
dProofs55.txt:33708                    11 CCCOpCCqrOq         DDDD1DDD1DDD1D1D1DDDD1D1D1111111D1DDDD11DDD1D1111121112:CCCO0CC1.2O1
dProofs57.txt:46239                    11 CpCqCCCOrOs         DD1DDDD1DDD1DDD1D1D1DDDD1D1D1111111D1DDD11DDD1D1111111122:C0C1CCCO2O3
dProofs57.txt:46487                    11 CCCpqCCrrpp         DDD1DDD1D1D1DDD1DDD1D1DDDD1D1D11111D1111111D1DDD1D11D1111:CCC0.1CC2.2.0.0
dProofs57.txt:47112                    11 CCCCCppqqrr         DDD1DDD1D1DDD1D111111D1DD1DDD1D1DDD1D111111D1DDD1D11D1111:CCCCC0.0.1.1.2.2
dProofs57.txt:47359                    11 CCCCCppqrOq         DDD1DDDDDD1DDD1D1D1D1D1DDDD1D1D111111111112D1DDD1D11D1111:CCCCC0.0.1.2O1
dProofs57.txt:48036                    11 CCCpCqCrqOs         DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111D1DD1DD1D111D11112:CCC0C1C2.1O3
dProofs59.txt:62632                    11 CpCqCrCCrss         DD1DD1DD1D1DDD1D111111D1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111:C0C1C2CC2.3.3
dProofs59.txt:65235                    11 CpCCCqCOqOr         DD1DDD1DDDDDD1DDD1D1D1D1D1DDDD1D1D111111111112D1DDD11D11112:C0CCC1CO1O2 [instance of CpCCCqCrqOs]
dProofs59.txt:66809                    11 CCCpqrCsCqr         DDD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DD1D1D1DDD1D111111:CCC0.1.2C3C1.2
dProofs59.txt:66816                    11 CCCOpqCrCsq         DDD1DDDD1D1D1D1DDDD1D1D1DDD1D1111111111D1DDDDDD1D1D11111211:CCCO0.1C2C3.1
dProofs59.txt:66843                    11 CCpqCCCOrpq         DDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111D1DDDD11DDD1D11111211:CC0.1CCCO2.0.1
dProofs59.txt:67129                    11 CCCpqCCprOp         DDDD1DDD1D1DDD1D1D1D1D1DDD1DDD1D1DDDD1D1D11111D111111111112:CCC0.1CC0.2O0
dProofs61.txt:94854                    11 CCCCCpqprpp         DDD1DDD1D1DDD1D111111DDDDDD1D1D1D1DDDD1D1D111111111DDD1D11111:CCCCC0.1.0.2.0.0
dProofs61.txt:95376                    11 CCCpqOCrCsp         DDDD1D1D1DDDDDD1D1D1D1DDDD1D1D111111111111D1DDDD11DDD1D111112:CCC0.1OC2C3.0
dProofs61.txt:96619                    11 CCCppCCqrqq         DDDD1DDD1DDD1D1D1DDDD1D1D1111111D1DDD1D11D111111DDDD1D11D1112:CCC0.0CC1.2.1.1
dProofs63.txt:131330                   11 CpCCCqCrqOs         DD1DDD1DDDDDD1DDD1D1D1D1D1DDDD1D1D111111111112D1DD11DDD1D111112:C0CCC1C2.1O3
dProofs63.txt:131339                   11 CpCCCqCOrOs         DD1DDD1DDDDDD1DDD1D1D1D1D1DDDD1D1D111111111112DDDDD1D1D11111212:C0CCC1CO2O3
dProofs63.txt:132310                   11 CCCpqCCOrpp         DDD1DDD1D1D1DDD1DDD1D1DDDD1D1D11111D1111111D1DDDD11DDD1D1111121:CCC0.1CCO2.0.0
dProofs63.txt:134060                   11 CCCCCOpqqrr         DDD1DDD1D1DDD1D111111D1DD1DDD1D1DDD1D111111D1DDDD11DDD1D1111121:CCCCCO0.1.1.2.2
dProofs63.txt:134888                   11 CCCCCOpqrOq         DDD1DDDDDD1DDD1D1D1D1D1DDDD1D1D111111111112D1DDDD11DDD1D1111121:CCCCCO0.1.2O1
dProofs63.txt:137463                   11 CCCpCqCrrOs         DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111D1DD1DD1D111D1DD1D111112:CCC0C1C2.2O3
dProofs63.txt:137533                   11 CCCpCqCOrOs         DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111DDD1D11DDDD1D1D111111112:CCC0C1CO2O3
dProofs65.txt:131433                   11 CpCqCCCrqss         DD11DDDD1D1D1DDDDDD1D1D1D1DDDD1D1D111111111111D1DDD1D1DDD1D111111:C0C1CCC2.1.3.3
dProofs65.txt:191337                   11 CCCCCppqrqq         DDD1DDD1D1DDD1D111111DDDDDD1D1D1D1DDDD1D1D111111111D1DDD1D11D1111:CCCCC0.0.1.2.1.1
dProofs65.txt:196151                   11 CCCpCqCrpOs         DDDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111D1DD1DD1D111DDD1D1D1111112:CCC0C1C2.0O3
dProofs67.txt:253737                   11 CpCqCrCCqss         DD1DD1DD1D1DDD1D111111DDD1D1D1DDDD1D1D1D1DDDD1D1D1DDD1D111111111111:C0C1C2CC1.3.3
dProofs67.txt:272553                   11 CCCppCCqqrr         DDD1DDD1DDD1D1D1DDDD1D1D1DDD1D111111111D1DDD1D11D1111D1DDD1D11D1111:CCC0.0CC1.1.2.2
dProofs67.txt:278177                   11 CCCOpCCqrqq         DDDD1DDD1DDD1D1D1DDDD1D1D1111111D1DDDD11DDD1D111112111DDDD1D11D1112:CCCO0CC1.2.1.1
dProofs67.txt:278452                   11 CCCCCpqOrpp         DDDD1DDD1DDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111111DDDD1D1D111111112:CCCCC0.1O2.0.0
dProofs69.txt:378714                   11 CpCCCqCrrOs         DD1DDD1DDDDDD1DDD1D1D1D1D1DDDD1D1D111111111112D1DD1D1D1DDD1D1111D1112:C0CCC1C2.2O3
dProofs69.txt:381958                   11 CCpqCCCprqq         DDD1DDD1D1D1D1DDD1D1D1DDD1DDDD1DDD1D1D1D1D1DDDD1D1D111111111111111111:CC0.1CCC0.2.1.1
dProofs71.txt:476191                   11 CpCqCCCrrOs         DD1D1D1DD1DDD1DDDDDD1DDD1D1D1D1D1DDDD1D1D111111111112D1DDD1D11D11112D11:C0C1CCC2.2O3
